Name,County,Location,Dedicated Date,Latitude,Longitude,Marker Type,Missing?,Categories,Marker Text
Veterans Stadium,Philadelphia,"NE corner, S Broad St. & Pattison Ave., Philadelphia","Wednesday, September 28, 2005",39.93706,-75.14208,Roadside,No,"Baseball, Football, Sports & Recreation","A multi-purpose stadium opened here in 1971 and served as home to Philadelphia Phillies and Philadelphia Eagles, 1971-2003. The stadium was the site of three World Series in 1980, 1983, and 1993; two Major League Baseball All-Star games in 1976 and 1996; two National Football Conference Championship games in 1981 and 2003; and 17 Army-Navy football games. ""The Vet"" had a seating capacity of over 65,000; razed in 2004."
Giannini Family,Philadelphia,"735 Christian St., Philadelphia","Saturday, October 01, 2005",39.93851,-75.15573,City,No,"Music & Theater, Performers","Acclaimed operatic family. Father, tenor Ferruccio (1868-1948), sung on first disc, 1896. Daughter Dusolina (1900-86) was a Metro- politan Opera soprano. Son Vittorio (1903-66) was a composer & taught at Curtis Institute and Juilliard. Resided here."
Christian Street Hospital,Philadelphia,"924 Christian St., Philadelphia","Friday, September 09, 2005",39.93902,-75.15845,City,No,"Civil War, Invention, Science & Medicine","First Civil War U.S. Army Hospital, founded May, 1861. Here Drs. Mitchell, Keen, Morehouse, and others used electric current, drugs, and other experiments in pioneering treatment of nerve and related disorders. Closed 1865."
Samuel S. Fleisher Art Memorial,Philadelphia,"719 Catharine St., Philadelphia","Tuesday, September 13, 2005",39.93904,-75.15509,City,No,"Artists, Education","Founded in 1898 as the Graphic Sketch Club; oldest free community art school in the United States. Nearly 5,000 students study art here annually. Alumni include Frank Gasparro, former chief engraver for U.S. Mint, and Louis Kahn, renowned architect."
Captain Thomas Holme 1624-1695 - PLAQUE,Philadelphia,"113 Arch St., Philadelphia","November, 1924",39.951896,-75.142235,Plaque,Yes,"Government & Politics 17th Century, William Penn",William Penn's first Surveyor General of Pennsylvania made his city home near this spot. He mapped the city in 1683 and the province of Pennsylvania in 1687.
John Penn - PLAQUE,Philadelphia,"242 S 3rd St., Philadelphia","October, 1932",39.94572,-75.14658,Plaque,No,"Government & Politics 18th Century, William Penn","On this site was the home 1766-1771 of John Penn 1729-1795, last Colonial Governor of Pennsylvania. Son of Richard Penn and grandson of William Penn, the Founder. Also the home 1771-1810 of Benjamin Chew, 1722-1810, last Colonial Chief Justice of Pennsylvania..."
Francis Daniel Pastorius - PLAQUE,Philadelphia,"502 S. Front St. (west side, near South St.), Philadelphia","October, 1924",39.941826,-75.144086,Plaque,Yes,"Cities & Towns, Early Settlement, Ethnic & Immigration, Government & Politics 17th Century","Francis Daniel Pastorius founder of Germantown, 1651-1719, built here in 1683 on a lot 102 feet front a dugout *his first American home* in which, October 25, 1683, the thirteenth original settlers of Germantown drew lots for their new homes. He placed ..."
Hannah Penn - PLAQUE,Philadelphia,"135 S. 2nd St. (SE corner of 2nd & Sansom), Philadelphia","December, 1926",39.947155,-75.144338,Plaque,Yes,"Government & Politics 18th Century, William Penn, Women","Hannah Penn, 1670-1726, second wife of William Penn presided ably here in the slate roof house 1699-1701. Capable administrator of Pennsylvania affairs 1712-1726. Devoted mother whose sons John, Thomas and Richard Penn succeeded their father as proprietor..."
William Penn - Slate Roof House - PLAQUE,Philadelphia,"135 S. 2nd St.(SE corner 2nd & Sansom), Philadelphia","November, 1924",39.947155,-75.144338,Plaque,Yes,"Buildings & Architecture, Government & Politics 17th Century, Houses & Homesteads, William Penn","William Penn with his family lived on this site in the slate roof house on his second visit to Pennsylvania 1699-1701 as tenant of Samuel Carpenter. Here in 1699 was born John Penn, called ""The American"" because he was the only child born to the Founder ..."
Wyoming Branch of the Free Library,Philadelphia,"231 E Wyoming Ave., at ""B"" St., Philadelphia","Saturday, October 29, 2005",40.02116,-75.12067,City,No,"Buildings & Architecture, Business & Industry, Education","The last library funded by noted philanthropist Andrew Carnegie opened here October 30, 1930, as the Wyoming Avenue Branch of the Free Library of Philadelphia. Pittsburgh industrialist Carnegie endowed more than 2,500 libraries worldwide, including many in Philadelphia."
Lombard Street Riot,Philadelphia,"SE corner of S 6th & Lombard Sts., Philadelphia","Wednesday, November 23, 2005",39.94299,-75.15205,City,No,African American,"Here on August 1, 1842 an angry mob of whites attacked a parade celebrating Jamaican Emancipation Day. A riot ensued. African Americans were beaten and their homes looted. The rioting lasted for 3 days. A local church & abolition meeting place were destroyed by fire."
Whitaker Mill Cedar Grove,Philadelphia,"5100 block of Tabor Rd. betw. E Olney Ave. & Garland St., Phila.","Saturday, May 27, 2006",40.03125,-75.11065,Roadside,No,"Business & Industry, Mills","In 1813 Henry Whitaker built a waterwheel textile mill and town here. William Whitaker & Sons, Inc. continued operations for 157 years in original buildings. Canvas & wool blankets were produced for the Civil War. First mill in the U.S. to produce bed ticking. Chenille manufacturing processes were patented. Owners ceased production in 1970. The mill was destroyed by arson & demolished in 1975. Several original buildings remain nearby."
Tommy Loughran (1902-1982),Philadelphia,"SW corner, S 17th & Ritner Sts., Philadelphia","Friday, July 07, 2006",39.9211,-75.17538,Roadside,No,Sports & Recreation,"World Light Heavyweight Champion from 1927 to 1929. He boxed during the ""Golden Age of Boxing"" in many weight classes, besting 10 champs in his 18-year career. The –Philly Phantom” had a scientific style, built on precision and maneuverability rather than brute force. Considered a gentleman both in and out of the ring. In 1991 he was elected to the International Boxing Hall of Fame. Loughran was devoted to his neighborhood and church here."
Glomar Explorer,Philadelphia,"At Independence Seaport Mus., 211 S Columbus Blvd. & Walnut St., Philadelphia","Wednesday, August 02, 2006",39.94633,-75.14014,Roadside,No,"Government & Politics 20th Century, Military","In a covert CIA plan named the Jennifer Project, this ship was built at Sun Shipbuilding and Dry Dock Company, Chester, in the early 1970s and played a key role in US Cold War espionage. Its mission was to obtain intelligence by recovering a sunken Soviet submarine, three miles deep in the Pacific Ocean. Portions of the sub were raised by the ship's huge claw in the summer of 1974; six Soviet submariners were recovered and given a burial at sea."
Siegmund Lubin (1851-1923),Philadelphia,"1608 N 15th St., Philadelphia","Wednesday, April 11, 2007",39.97796,-75.16003,City,No,"Invention, Motion Pictures & Television, Professions & Vocations","Some of the nation's earliest motion pictures were made here between 1897 and 1899 in the backyard of film pioneer Lubin's home. Vaudeville and burlesque routines, boxing matches, circus performers, animal acts, and a Passion Play were among the subjects he filmed."
Ralph Modjeski (1861-1940),Philadelphia,"NW corner, N 6th & Race Sts., at Franklin Sq. Park entrance, Philadelphia","Saturday, September 15, 2007",39.9549,-75.14954,City,No,"Bridges, Business & Industry, Ethnic & Immigration, Professions & Vocations","Polish immigrant and civil engineer, Modjeski was one of the most influential figures in American bridge building. He completed the Quebec Bridge on the St. Lawrence River and over 40 others, earning numerous awards. He was chief engineer and designer for the Benjamin Franklin Bridge here, opened in 1926."
South 9th Street Curb Market,Philadelphia,"NE corner of 9th & Christian Sts., Phila.","Friday, October 12, 2007",39.939,-75.15778,Roadside,No,"Business & Industry, Ethnic & Immigration, Roads",One of several curb markets established in the early 20th century to counter high prices and food shortages during WWI. The 9th St. Market has survived despite anti-immigrant sentiments and criticisms regarding sanitary conditions and traffic congestion. Neighborhood businesses offered fresh produce and a variety of ethnic specialty foods. It has evolved from a local community market to become a popular Philadelphia icon.
Broad Street Station,Philadelphia,"NW corner, N 15th & Market Sts.","Tuesday, May 18, 1999",39.95295,-75.16521,City,No,"Buildings & Architecture, Railroads, Transportation","Opened here, 1881, by the Pennsylvania Railroad; enlarged 1893. This was once the world's largest railroad passenger terminal. Its great arched train shed burned, 1923. The station and its long elevated stone track bed (the ""Chinese Wall"") remained until 1952-53."
"Wistar Institute of Anatomy and Biology, The",Philadelphia,3601 Spruce St.,"Wednesday, November 14, 2007",39.950934,-75.195485,City,No,"Education, Invention, Science & Medicine",The nation's first independent biomedical research institution was founded in 1892 by Isaac Jones Wistar. It houses the anatomical collection of the Wistar and Horner Museum. Many critical vaccines and the albino Wistar rats used in medical research were developed here.
Tun Tavern,Philadelphia,"Front St., between Chestnut & Walnut, Philadelphia","Friday, November 11, 2005",39.94724,-75.14252,City,No,"American Revolution, Military, Inns & Taverns","Near here stood Tun Tavern, 1693-1781, which is regarded as the traditional birthplace of the United States Marine Corps, authorized by a resolution of the Continental Congress, November 10, 1775. SEMPER FIDELIS"
C. DeLores Tucker (1927-2005),Philadelphia,"6700 Lincoln Dr., Phila.","Saturday, July 22, 2006",40.04652,-75.19257,Roadside,No,"African American, Civil Rights, Government & Politics 20th Century, Women","Civil rights leader and activist for women. She was the first African American Secretary of State in the nation. Lived here for 47 years. Spearheaded Commission on the Status of Women and championed the PA Equal Rights Amendment, policies on affirmative action, voter registration by mail and lowering the voting age to 18. Led a successful crusade critical of the music industry and lyrics demeaning to women, African Americans, and children."
Commercial Digital Computer Birthplace,Philadelphia,"3747 Ridge Ave., Philadelphia","Thursday, September 28, 2006",40.00211,-75.18695,Roadside,No,"Business & Industry, Invention","BINAC, the worldês first commercial, electronic, stored program, digital computer passed verification tests here, at 3747 Ridge Ave., on April 7, 1949. Customer acceptance of UNIVAC I, the worldês first open market, commercial computer, followed on March 30, 1951. J. Presper Eckert and John W. Mauchly, co-inventors of ENIAC, led the development of both of these pioneering machines, which launched the commercial computer age."
Greenbelt Knoll,Philadelphia,"SW corner, Holme Ave. & Longford St., Philadelphia","Sunday, June 10, 2007",40.05628,-75.02216,Roadside,No,"African American, Buildings & Architecture, Cities & Towns, Civil Rights, Houses & Homesteads","The first racially integrated housing development in Philadelphia, and a model for the nation, was built in 1956 by Morris Milgram, a nationally recognized developer and civil rights proponent. Prominent building and landscape architects, including Robert Bishop, Margaret Duncan, and Louis Kahn, created Modernist houses in the natural setting of Pennypack Park. Original residents include Milgram, Rep. Robert N.C. Nix, & Rev. Leon Sullivan."
Cyrus Bustill (1732-1806),Philadelphia,"210 Arch St., Philadelphia",1992,39.95191,-75.14384,City,No,"African American, Education, Native American, Professions & Vocations","Born of White, Black, and Native American descent, he bought his freedom and became a baker of bread for Revolutionary troops. A founder of the Free African Society, he later opened a school for Black children while living here."
Engine Company No. 11,Philadelphia,"1016 South St., Philadelphia","Saturday, April 23, 2005",39.94281,-75.15912,City,No,"African American, Police and Safety","One of 22 fire companies established under the Philadelphia Fire Department in 1871. In 1919, it became a segregated African American unit whose members distinguished themselves through professional service. Desegregated in 1952."
Edmund N. Bacon (1910-2005),Philadelphia,"NW corner of N 15th St. & JFK Blvd., Phila.","Wednesday, September 13, 2006",39.9539,-75.1652,City,No,"Buildings & Architecture, Cities & Towns, Professions & Vocations","Internationally known urban planner, his design concepts shaped Philadelphia's city landscape. As city planning director, 1949 to 1970, his legacy includes Penn Center, Market East, Society Hill, the Far Northeast, Yorktown, and LOVE Park here."
Philadelphia General Hospital,Philadelphia,"Curie Blvd. & Osler Circle, Penn campus","Monday, November 05, 2007",39.94884,-75.19646,Roadside,No,"Buildings & Architecture, Science & Medicine, Professions & Vocations, Women","Founded in 1729, PGH was the nationês longest operating public health care institution. Originally an almshouse, the hospital moved to this location in 1871. PGH implemented innovative medical care and education under Dr. William Osler, and the work of Florence Nightingale prot_g_e Alice Fisher advanced nursing as a profession. Pioneering methods of cancer diagnosis and radiation therapy were applied. The hospital closed in 1977."
Masonic Temple Philadelphia,Philadelphia,One N Broad St.,"Wednesday, December 05, 2007",39.95544,-75.16145,City,No,Buildings & Architecture,"The 1873 Masonic Temple, a National Historic Landmark, is home to the Grand Lodge of Pa. Its lodge rooms, featuring varied architectural themes, and its stonework are widely acclaimed. Its prominence in size and location reflects Free-masonryês importance in American history."
Dr. A. S. W. Rosenbach (1876-1952),Philadelphia,2010 Delancey Place,"Wednesday, April 02, 2008",39.94746,-75.17512,City,No,"Education, Professions & Vocations","Among Americaês most influential rare book dealers, he helped build many of the nation's great libraries. He and his brother Philip established the Rosenbach Museum & Library to share their personal collection with the public. They lived on this block from 1926 to 1952."
Robert Bogle (1774-1848),Philadelphia,"112 S 8th St., Philadelphia",1991,39.941536,-75.15567,City,No,"African American, Professions & Vocations","A noted Black caterer, Bogle opened a posh eatery at this location in 1813. Recognized for his popular meat pies, he was well known as a master of ceremonies at elaborate weddings, funerals, and banquets for his wealthy clients."
David Bustill Bowser (1820-1900),Philadelphia,"481 N 4th St., Philadelphia",1991,39.96011,-75.14527,Roadside,No,"African American, Artists","A self-taught Black artist, Bowser, who lived here, began his career as a landscape, sign emblem, and banner painter. He also painted portraits including several of Lincoln and one of abolitionist John Brown."
Roy Campanella (1921-1993),Philadelphia,"Simon Gratz High School, N 18th St. & Hunting Park Ave., Philadelphia","Wednesday, May 29, 1996",40.01465,-75.1562,City,No,"African American, Baseball, Sports & Recreation","A record-breaking catcher with Brooklyn Dodgers, 1948-57. He began his professional baseball career while in high school here. In Negro League, 1937-42, '44-45. MVP, National League, 1951, '53, '55. All-Star, '49-'56. Baseball Hall of Fame, 1969."
Octavius V. Catto (1839-1871),Philadelphia,"812 South St., Philadelphia",1992,39.94245,-75.15593,City,No,"African American, Civil Rights, Civil War, Education, Government & Politics, Military","An early graduate of the Institute for Colored Youth, Catto, who lived here, was an educator, Union army major, and political organizer. In 1871 he was assassinated by rioters while urging Blacks to vote. His death was widely mourned."
Christ Church,Philadelphia,"N 2nd St., between Market & Arch Sts., Philadelphia","Friday, December 17, 1954",39.95093,-75.14354,City,No,"Government & Politics 18th Century, Religion","Founded, 1695. Erection of present building begun in 1727. Bells were brought from England in 1754. Among the noted persons buried here are James Wilson and Robert Morris, Signers of the Declaration of Independence, and Bishop White."
Christian Street YMCA,Philadelphia,"1724 Christian St., Philadelphia",1991,39.94089,-75.17195,City,No,"African American, Education, Sports & Recreation","Opened in 1914, this is the first Black YMCA to have its own building. A social center and meeting place for African-American organizations, it provided recreational and educational opportunities for members of the Black community."
Citizens and Southern Bank,Philadelphia,"NE corner, S 19th & South Sts., Philadelphia",1991,39.94469,-75.17301,City,No,"African American, Business & Industry","Founded in 1921 by R.R. Wright, Sr., who was born of slave parents, this bank was noted for serving the financial needs of Black customers. It survived the Great Depression and later established offices throughout the city."
Civilian Public Service,Philadelphia,"Friends Center at 1501 Cherry St., Philadelphia","Saturday, October 26, 1996",39.95564,-75.16514,Roadside,No,"Agriculture, Business & Industry, Labor, Science & Medicine, Military, Military Post-Civil War, Religion","During World War II, some 12,000 men who were classified as conscientious objectors to war -- about fifteen percent of them from Pennsylvania -- served in non-military occupations across the United States. Under the leadership of Mennonite, Quaker, and Church of the Brethren agencies, they were engaged in mental health care and medical experiments, in forestry and on dairy farms, and in other important civic projects."
John W. Coltrane (1926-1967),Philadelphia,"1511 N 33rd St., Philadelphia","Tuesday, July 17, 1990",39.9803,-75.18878,City,No,"African American, Music & Theater, Performers","A pioneering African-American jazz musician, composer, saxophonist. Coltrane used African and Indian elements to create a distinctive style which at first shocked audiences but ultimately gained wide acceptance. He lived here, 1952-1958."
"""Common Sense""",Philadelphia,"SE corner of S 3rd St. & Thomas Paine Place (Chancellor St), Philadelphia",1993,39.94041,-75.14645,City,No,"American Revolution, Government & Politics, Government & Politics 18th Century, Military, Professions & Vocations, Publishing & Journalism","At his print shop here, Robert Bell published the first edition of Thomas Paine's revolutionary pamphlet in January 1776. Arguing for a republican form of government under a written constitution, it played a key role in rallying American support for independence."
Robert Cornelius,Philadelphia,"S 8th & Ranstead Sts. (next to Siegmund Lubin marker), Philadelphia","Friday, December 09, 1994",39.95047,-75.15368,City,No,"Business & Industry, Invention, Science & Medicine, Professions & Vocations",This metallurgist and brass founder opened one of the world's first photographic studios here in the spring of 1840. His collaboration with chemist Paul Beck Goddard in successful experiments to reduce exposure times made it possible to use the camera in portraiture.
Paul Philippe Cret (1876-1945),Philadelphia,"516 Woodland Terrace, Philadelphia","Saturday, May 23, 1992",39.94902,-75.20466,City,No,"Bridges, Buildings & Architecture, Professions & Vocations","A celebrated architect and civic planner, Cret lived after 1911 here at 516 Woodland Terrace in this block of Italianate villas built in 1861. His legacy includes the Benjamin Franklin Bridge, Rodin Museum, and (in Washington, DC) the Folger Library."
Stephen Decatur,Philadelphia,"600 block of S Front St., Philadelphia","Friday, October 21, 1988",39.94061,-75.14409,City,No,"Military, War of 1812","Famed U.S. Navy officer. Born 1779 in Maryland, he grew up in a house on this site. Celebrated for his role in the Tripolitan War, 1804; capture of H.M.S. Macedonian, 1812; and the subduing of the Barbary powers, 1815. Killed in a duel in 1820. Buried, St. Peter's Church."
Frederick Douglass Memorial Hospital,Philadelphia,"1522 Lombard St., Philadelphia",1992,39.94503,-75.16801,City,No,"African American, Science & Medicine, Professions & Vocations","Opened in 1895 as the first hospital for Blacks in this city, this facility trained and employed Black medical professionals who were excluded from other hospitals. In 1948, it merged to form Mercy-Douglass Hospital."
W.E.B. Du Bois (1868-1963),Philadelphia,"NW corner, S 6th & Rodman Sts., Philadelphia","Sunday, October 29, 1995",39.94245,-75.15224,City,No,"African American, Civil Rights, Education, Writers","African American scholar, educator, and activist. A founder of the NAACP. From 1896-1897, he lived in the College Settlement House at 617 Carver (Rodman) St. while collecting data for his classic study, published in 1899, ""The Philadelphia Negro."""
"Dunbar Theatre, The",Philadelphia,"SW corner, S Broad St. at Lombard, Philadelphia",1992,39.94445,-75.1655,City,No,"African American, Buildings & Architecture, Music & Theater, Performers","Erected here by Black bankers, this theater was home to the Lafayette Players, popular vaudeville entertainers. Later bought by white interests and renamed the Lincoln, it hosted major Black performers from the 1920s into the 1940s."
Thomas Eakins (1844-1916),Philadelphia,"1729 Mt. Vernon St., Philadelphia",1996,39.96531,-75.16692,City,No,"Artists, Science & Medicine, Sports & Recreation","One of the finest realist painters of his time. A master of the art of the human figure. His work included portraits and scenes of sporting and medical events such as The Gross Clinic. A lifelong Philadelphian, he had his home & studios here on Mt. Vernon St."
Eastern State Penitentiary,Philadelphia,"2200 Fairmount Ave., Philadelphia","Thursday, May 02, 1996",39.96732,-75.17311,City,No,"Education, Government & Politics, Government & Politics 19th Century","Original prison built 1822-1836 on a radial plan by John Haviland. Linking solitude with moral and vocational instruction, it exemplified the Pennsylvania System of penology and became a model for over 300 prisons worldwide. Closed 1971."
Father Divine,Philadelphia,"NE corner, N Broad St. & Ridge Ave., Philadelphia","Sunday, September 11, 1994",39.96675,-75.16029,City,No,"African American, Civil Rights, Religion, Inns & Taverns","Rev. Major J. Divine, civil rights leader of the 1930s, established Cooperative Economic Plan, providing life's necessities at nominal prices. Divine Lorraine Hotel here, built 1894 and acquired in 1948, was one of the first integrated hotels of its caliber in the U.S."
Crystal Bird Fauset,Philadelphia,"5403 Vine St., Philadelphia",1991,39.96513,-75.22794,City,No,"African American, Civil Rights, Government & Politics, Women","The first Black woman elected to a state legislature in the U.S. Fauset, who lived here, won her seat in the Pennsylvania House of Representatives, 1938. She later served as a Civil Defense race relations advisor under Franklin D. Roosevelt."
Jessie Redmon Fauset,Philadelphia,"1853 N 17th St., Philadelphia",1993,39.98284,-75.16189,City,No,"African American, Women, Writers","Born to one of Philadelphia's old families. Literary editor, ""The Crisis,"" 1919-26. A prolific writer of New Negro Renaissance fiction, she produced four full-length novels in addition to her poems and critical essays. She died here in 1961."
Federal Street Burial Ground,Philadelphia,"Federal St., between 11th & 12th Sts., Philadelphia","Thursday, October 04, 1990",39.93513,-75.16279,City,No,"Civil War, Education, Military, Professions & Vocations, Publishing & Journalism, Religion","Congregation Mikveh Israel's second cemetery, founded 1849. Here are buried Abraham Hart the publisher; Alfred Mordecai, soldier and engineer; Dr. Sabato Morais, rabbi and educator; Judge Mayer Sulzberger; and noted Civil War veterans."
Female Medical College of Pennsylvania,Philadelphia,"2900 W Queen Ln., at Drexel College of Med. entrance, Philadelphia","Monday, September 30, 1996",40.01972,-75.18103,City,No,"Education, Science & Medicine, Women","First degree-granting women's medical school in nation, founded 1850. Renamed (1867) Woman's Medical College of Pa. by Ann Preston, Dean. Coeducational, 1969. Became Medical College of Pa., 1970; Allegheny University of the Health Sciences, 1996."
W.C. Fields (1880-1948),Philadelphia,"NW corner, N 8th & Market Sts., Philadelphia","Monday, October 13, 1997",39.95145,-75.15382,City,No,"Motion Pictures & Television, Performers","American comedian, raised in Philadelphia, noted for his irreverent wit. Starting out as a vaudeville juggler, he won enduring fame on screen and radio. He was in over 40 motion pictures, 1915-44. As a lad, he worked for a time at Strawbridge's here."
First African Baptist Church,Philadelphia,"SW corner, S 16th & Christian Sts., Philadelphia",1992,39.94041,-75.16969,City,No,"African American, Religion","Founded 1809 as one of the first Black Baptist churches in America. Later two members sold themselves into slavery to free a slave to serve as pastor. Erected 1906, this building is located at a later site of the congregation."
First African Baptist Church Cemetery,Philadelphia,"SW corner, N 8th & Vine Sts., Philadelphia",1992,39.95649,-75.15302,City,No,"African American, Religion","Site of the cemetery that served this congregation from 1824 to 1842. Archaeological excavations in the 1980s provided links to ancient African burial customs. The remains were re-interred in Eden Cemetery, Delaware Co., Pa."
First African Presbyterian Church,Philadelphia,"N 42nd & Girard Ave., Philadelphia",1993,39.97355,-75.20954,City,No,"African American, Religion","Founded 1807 by John Cloucester, a former slave who was instrumental in establishing Presbyterianism among African-Americans. First edifice was dedicated 1811 at 7th & Bainbridge Streets. Church has been at this location since 1957."
First Protest Against Slavery,Philadelphia,"5109 Germantown Ave. at Wister St., Philadelphia","Saturday, October 08, 1983",40.03009,-75.16492,City,No,"African American, Ethnic & Immigration, Government & Politics, Religion","Here in 1688, at the home of Tunes Kunders, an eloquent protest was written by a group of German Quakers. Signed by Pastorius and three others, it preceded by 92 years Pennsylvania's passage of the nation's first state abolition law."
Fort Mifflin,Philadelphia,"At site, Fort Mifflin Rd., Philadelphia","Thursday, May 10, 1990",39.87649,-75.21211,City,No,"American Revolution, Forts, Military","Laid out in 1771 by the engineer John Montresor. Heroically held by the Americans under British siege until they were forced out, Nov. 15, 1777. Rebuilt 1798-1800 according to L'Enfant's design and enlarged in the 19th century. A U.S. military post until the 1950s."
James Forten (1766-1842),Philadelphia,"336 Lombard St., Philadelphia","Tuesday, April 24, 1990",39.94254,-75.14858,City,No,"African American, Professions & Vocations, Underground Railroad","A wealthy sailmaker who employed multi-racial craftsmen, Forten was a leader of the African-American community in Philadelphia and a champion of reform causes. The American Antislavery Society was organized in his house here in 1833."
Benjamin Franklin (1706-1790),Philadelphia,"Chestnut St. between 3rd & 4th Sts., at Nat'l. Liberty Mus., Philadelphia","Saturday, June 30, 1990",39.94881,-75.14683,City,No,"Government & Politics, Government & Politics 18th Century, Invention, Science & Medicine, Professions & Vocations, Publishing & Journalism, Writers","Printer, author, inventor, diplomat, philanthropist, statesman, and scientist. The eighteenth century's most illustrious Pennsylvanian built a house in Franklin Court starting in 1763, and here he lived the last five years of his life."
Fraunces Tavern,Philadelphia,"166 S 2nd St., (just W of Dock St.) Philadelphia",1991,39.94639,-75.14485,City,No,"Buildings & Architecture, Business & Industry, George Washington, Professions & Vocations, Inns & Taverns","Here stood Fraunces Tavern, established by Samuel Fraunces after moving from New York where he had operated a famous tavern. He served as George Washington's chief cook, 1790-94, while the President lived in Philadelphia."
Freedom Theatre,Philadelphia,"1346 N Broad St. (PA 611) at Master, Philadelphia","Thursday, May 16, 1991",39.97438,-75.15894,City,No,"African American, Music & Theater, Performers","Formerly the home of actor Edwin Forrest, later Philadelphia School of Design for Women. Became Heritage House, then in 1968, Freedom Theatre, a community-based Black theater for professional instruction in the theatrical arts."
Arch Street Meeting House,Philadelphia,"Arch St., between 3rd & 4th Sts., Philadelphia","Friday, December 17, 1954",39.95237,-75.14577,City,No,"Buildings & Architecture, Religion, William Penn",The meetinghouse was built in 1804 on a burial ground granted by William Penn in 1701. It has been continuously used as a place of worship and center for activities of the Religious Society of Friends (Quakers) of the Philadelphia region.
Henry George,Philadelphia,"413 S. 10th St., Philadelphia","Sunday, November 18, 1984",39.94418,-75.15819,City,No,"Business & Industry, Government & Politics, Writers","The famous American economist was born here, September 2, 1839. His book ""Progress and Poverty"" sold in the millions. Tax socially produced land values, he urged, instead of individually produced labor and capital. He died 1897 in New York."
Girard College Civil Rights Landmark,Philadelphia,"NE corner, Corinthian and Girard Aves., Philadelphia",1992,39.97312,-75.16998,City,No,"African American, Civil Rights, Education, Government & Politics, Professions & Vocations","In 1930s, lawyer Raymond Pace Alexander challenged the school's restriction (mandated by Stephen Girard's 1831 will) to poor white orphans. Attorney Cecil B. Moore later went to the federal courts; by a 1968 ruling the school was opened to all races."
Stephen Girard (1750-1831),Philadelphia,"Girard Park, Shunk Sts. between S 21st & S 22nd, Philadelphia","Friday, October 01, 1993",39.91973,-75.18333,Roadside,No,"Buildings & Architecture, Business & Industry, Education, Ethnic & Immigration, Mansions & Manors, Professions & Vocations","Merchant, financier, philanthropist. Born in France, he came to this city in 1776. Girard gave strong support to both the First and Second Banks of the United States. By his will he established Girard College, which opened in 1848. Gentilhommiere, located here, was his country house after 1797. Girard added the center and western sections of the house and operated a 583-acre farm here."
Free African Society,Philadelphia,"at Mother Bethel Church, S 6th & Lombard Sts., Philadelphia",1992,39.94317,-75.15205,City,No,"African American, Government & Politics","Established in 1787 under the leadership of Richard Allen and Absolom Jones, this organization fostered identity, leadership, and unity among Blacks and became the forerunner of the first African-American churches in this city."
Baker Bowl National League Park,Philadelphia,"N Broad Street (between Lehigh & Huntingdon), Philadelphia","Wednesday, August 16, 2000",39.99245,-75.15488,City,No,"African American, Baseball, Sports & Recreation","The Phillies' baseball park from its opening in 1887 until 1938. Rebuilt 1895; hailed as nation's finest stadium. Site of first World Series attended by U.S. President, 1915; Negro League World Series, 1924-26; Babe Ruth's last major league game, 1935. Razed 1950."
Reading Terminal & Market,Philadelphia,"On site at Market St. near 12th, at Convention Ctr., Philadelphia","Wednesday, September 10, 2003",39.95229,-75.15913,Roadside,No,"Business & Industry, Railroads, Transportation","The Philadelphia and Reading Railroadês Terminal Station served passengers from 1893-1984. The train shed, masterpiece of Joseph H. Wilson, is an engineering feat reflecting the era when railroads vied for impressive terminals, both functional and beautiful. The market, located below the shed, descended from colonial-era outdoor markets and began operations in 1892."
"Philip Syng, Jr. (1703-1789)",Philadelphia,"Corner of Chestnut St. & S Front St., Philadelphia","Sunday, September 28, 2003",39.94844,-75.14243,City,No,"Government & Politics, Government & Politics 18th Century, Professions & Vocations","Near here, silversmith Philip Syng, Jr. created the inkstand used to sign the Declaration and Constitution at Independence Hall. With Benjamin Franklin, took part in experiments in electricity; founded institutions like the American Philosophical Society."
"Legendary Blue Horizon, The",Philadelphia,"1314 N Broad St., Philadelphia","Friday, October 24, 2003",39.97389,-75.15898,City,No,"African American, Sports & Recreation","Built to house wealthy businessmen and their families (1865), and later the headquarters for the Moose Lodge (1912). By the 1960s the Blue Horizon was known as the center of African American community life and as a world renowned boxing venue."
Alfred J. Reach (1840-1928),Philadelphia,"1820 Chestnut St., Philadelphia","Friday, April 04, 2003",39.95172,-75.17137,City,No,"Baseball, Sports & Recreation","Pioneer baseball professional; a great early 2nd baseman. Played for the Philadelphia Athletics, 1865-75. Phillies' first owner & president, 1883-1902. Published ""Official Base Ball Guide."" His A.J. Reach & Co., maker of sporting goods, was here."
Satterlee U.S.A. General Hospital,Philadelphia,"At Gettysburg Stone in Clark Park, between S 43rd & S 44th Sts. on Baltimore Ave., Philadelphia","Saturday, November 08, 2003",39.9491,-75.211,City,No,"Civil War, Science & Medicine, Military","One of largest and most complete Union Army hospitals during the Civil War, from 1862 to 1865. With 4,500 beds in one-story buildings and hundreds of tents, it occupied over 16 acres north of here. Named for Gen. Richard Satterlee, Union Army Medical Purveyor."
Union League of Philadelphia,Philadelphia,"SW corner, 140 S Broad St., Philadelphia","Thursday, February 12, 2004",39.94975,-75.16406,City,No,"Abraham Lincoln, Civil War, Government & Politics, Military","Founded 1862 as a patriotic society supporting President Lincolnês efforts to preserve the Union. Recruited and financed troops during the Civil War. Its membership of prominent citizens later pursued political reform and social, philanthropic, and civic causes."
